,タイムスタンプ,氏名,Unnamed: 2,授業内容（記入例：カラン〇　100-102),レッスン内容,不明・その他の場合メモ
99,7/9/2020 20:12:43,"福山雅治, 阿部サダヲ, 石原さとみ, 岡田准一",,ドライブレコーダーをつけてもらった。あおり運転。自動運転。ぼっとしてるの英語表現。お天気の表現の復習,中上級,
100,7/11/2020 12:20:22,"明石家さんま, 岡田准一",,"Callan 134-138, Callan 3 156-157",初級,
101,7/11/2020 14:32:22,"綾瀬はるか, 出川哲郎",,現在完了のおさらい,初級,
102,7/11/2020 14:32:55,"明石家さんま, 岡田准一",,"Callan 134-138, Callan 3 156-157",初級,
103,7/11/2020 14:33:37,"綾瀬はるか, 出川哲郎",,現在完了のおさらい,初級,
104,7/11/2020 19:00:48,"渡辺直美, 福山雅治, 福士蒼汰",,callan 5. P1-4,中級,
105,7/11/2020 19:02:16,"福山雅治, 福士蒼汰",,Free talk. Summer ,中級,
106,7/12/2020 11:42:35,岡田准一,,callan 3 163 earlierまで,初級,
107,7/12/2020 11:44:03,福士蒼汰,,callan 7trial まで,中級,
108,7/12/2020 18:10:57,福山雅治,,callan 9 849-855,中級,
109,7/12/2020 18:12:10,明石家さんま,,callan 3 146-158,初級,
110,7/12/2020 18:15:59,"渡辺直美, イモトアヤコ",,callan7 514~522,中級,
111,7/13/2020 11:09:13,北川景子,,callan2 96~99 bread,初級,
112,7/13/2020 11:15:40,明石家さんま,,callan 3 146-158,初級,
113,7/13/2020 15:45:55,"浅田真央, 天海祐希",,callan 5 373~379,初級,
114,7/13/2020 15:47:46,"出川哲郎, イチロー, 所ジョージ",,callan2 75-76,初級,
115,7/13/2020 19:01:40,"渡辺直美, 岡田准一",,Callan 5-6 pg 323 ,中級,
116,7/13/2020 19:42:19,岡田准一,,Callan 3 165very まで,初級,
117,7/14/2020 11:43:11,"深田恭子, 北川景子",,Callan2 99-102,初級,
118,7/14/2020 13:29:04,"深田恭子, 北川景子",,Callan2 99-102,初級,
119,7/14/2020 14:03:11,出川哲郎,,Callan2 76,初級,
120,7/14/2020 18:15:08,"タモリ, サンドウィッチマン",,"Callan 3,4 lesson 51pg,265 ",中級,
121,7/14/2020 19:25:23,岡田准一,,"観光英語　p39の金箔の前まで　callan 3 p28,29",初級,
122,7/15/2020 12:36:30,岡田准一,,Callan 3 165very まで,初級,
123,7/15/2020 12:37:52,"深田恭子, 大泉洋, 北川景子",,和製英語、フリートーク,初級,
124,7/15/2020 12:38:06,出川哲郎,,Callan2 76,初級,
125,7/15/2020 15:35:00,"タモリ, サンドウィッチマン",,"Callan 3,4 lesson 51pg,265 ",中級,
126,7/15/2020 15:35:05,"深田恭子, 北川景子",,Callan2 99-102,初級,
127,7/15/2020 15:35:07,岡田准一,,"観光英語　p39の金箔の前まで　callan 3 p28,29",初級,
128,7/15/2020 16:06:38,"出川哲郎, イチロー, 所ジョージ",,Callan 2 76 動詞,初級,
129,7/15/2020 18:04:05,"吉田羊, 米倉涼子, いとうあさこ",,"Callan 3,4 pg 204  ship から",中級,
130,7/15/2020 18:14:34,山田孝之,,wh疑問文、進行形,初級,
131,7/15/2020 19:42:32,"渡辺直美, 岡田准一",,callan 5 329まで,中級,
132,7/16/2020 14:15:17,出川哲郎,,Callan 2 78 child まで,初級,
133,7/16/2020 14:17:42,北川景子,,callan2 111 まで,初級,
134,7/16/2020 14:17:51,"吉田羊, 米倉涼子, いとうあさこ",,"Callan 3,4 pg 204  ship から",中級,
